,SubContinent,Country,Weight
0,North America,North America_United States,3739902
1,North America,North America_Canada,317228
2,Latin America,Latin America,12918372
3,Africa,Africa,14663612
4,Europe,Europe,5696762
5,Fmr Soviet Union,Fmr Soviet Union,5076130
6,West Asia,West Asia,3630794
7,South Asia,South Asia,20282744
8,East Asia,East Asia_Hong Kong and Macao,2758944
9,East Asia,East Asia_China,3590192
10,East Asia,East Asia_Japan,201188
11,East Asia,East Asia_North Korea,56504
12,East Asia,East Asia_South Korea,802924
13,East Asia,East Asia_Mongolia,43170
14,South-East Asia,South-East Asia,9775148
15,Oceania,Oceania,857578
