nan,North America,Central America,South America,North Africa,Sub-Saharan Africa,Northern Europe,Western Europe,Southern Europe,Eastern Europe,Central Asia,Western Asia,South Asia,East Asia,South-East Asia,Oceania
North America,"96,102","208,668","68,240","4,253","58,827","248,379","279,267","551,959","162,959","85,259","131,288",158,"39,145","41,758","52,303"
Central America,"3,233,173","215,008","36,975",390,"2,414","42,572","81,356","190,931","4,962","3,145","6,236",14,"1,754",510,"7,541"
South America,"394,674","26,456","600,759",417,"19,431","68,645","157,063","1,200,694","18,644","5,090","32,516",351,"110,426","2,035","28,490"
North Africa,"62,193",93,692,"57,855","12,512","22,807","404,765","442,162","5,437","1,382","367,718",1,312,340,"6,858"
Sub-Saharan Africa,"478,694",793,"10,738","44,230","3,717,881","483,736","430,954","312,329","6,442","2,724","305,291",243,"2,918",576,"149,130"
Northern Europe,"47,627","2,770","6,125","1,255","118,260","172,448","69,445","192,786","66,783","12,912","41,223",2,"3,595","1,671","98,602"
Western Europe,"9,854","1,040","5,396","2,244","42,358","129,499","442,833","507,931","216,677","16,722","77,710",9,"1,108","4,878","18,763"
Southern Europe,713,449,236,206,"12,289","7,028","14,745","15,030","13,810","1,431","7,311",4,510,197,"1,022"
Eastern Europe,"7,455",36,706,125,589,"65,289","177,341","456,014","315,272","189,294","13,543",5,11,2,"9,137"
Central Asia,"15,473",37,258,488,713,"15,731","131,793","33,649","193,536","1,234,157","20,628","2,834","5,584",85,944
Western Asia,"170,652",645,"8,886","93,782","41,403","89,952","253,958","109,428","81,612","155,212","979,296","16,120",414,"3,138","39,798"
South Asia,"1,508,008","3,846","2,888","7,916","55,555","755,399","297,476","325,555","13,079","13,285","4,903,558","1,307,907","73,599","525,881","347,420"
East Asia,"1,057,904","9,189","25,953","1,231","15,861","200,949","118,900","127,273","22,665","63,882","3,040",117,"781,316","145,264","278,746"
South-East Asia,"973,060","2,493","3,587","17,576","8,004","176,095","273,505","94,531","57,470","7,728","869,406","59,126","380,388","1,630,997","333,608"
Oceania,"27,137",349,"1,436",272,"4,475","46,514","28,276","72,232","24,229","4,245","11,371",5,"5,659","11,883","190,706"
