region_orig,region_orig_id,region_dest,region_dest_id,country_orig,country_orig_id,country_dest,country_dest_id,regionflow_2005,countryflow_2005,metadata
South Asia,6,North America,1,Afghanistan,AFG,Canada,CAN,1508008,12270,"Estimates of bilateral migration flows at region and country levels for 5-year periods (mid-year to mid-year): 1990-1995, 1995-2000, 2000-2005, 2005-2010.  "
South Asia,6,North America,1,Afghanistan,AFG,United States,USA,1508008,13781,The estimates capture the number of people who change their country of residence over 5-year periods.
South Asia,6,Africa,2,Afghanistan,AFG,Angola,AGO,63471,0,
South Asia,6,Africa,2,Afghanistan,AFG,Burundi,BDI,63471,0,
South Asia,6,Africa,2,Afghanistan,AFG,Benin,BEN,63471,0,
South Asia,6,Africa,2,Afghanistan,AFG,Burkina Faso,BFA,63471,0,
South Asia,6,Africa,2,Afghanistan,AFG,Botswana,BWA,63471,0,
South Asia,6,Africa,2,Afghanistan,AFG,Central African Republic,CAF,63471,0,
South Asia,6,Africa,2,Afghanistan,AFG,Ivory Coast,CIV,63471,0,
South Asia,6,Africa,2,Afghanistan,AFG,Cameroon,CMR,63471,0,
South Asia,6,Africa,2,Afghanistan,AFG,DR Congo,COD,63471,0,
South Asia,6,Africa,2,Afghanistan,AFG,Congo,COG,63471,0,
South Asia,6,Africa,2,Afghanistan,AFG,Comoros,COM,63471,0,
South Asia,6,Africa,2,Afghanistan,AFG,Cape Verde,CPV,63471,0,
South Asia,6,Africa,2,Afghanistan,AFG,Djibouti,DJI,63471,0,
South Asia,6,Africa,2,Afghanistan,AFG,Algeria,DZA,63471,2,
South Asia,6,Africa,2,Afghanistan,AFG,Egypt,EGY,63471,34,
South Asia,6,Africa,2,Afghanistan,AFG,Eritrea,ERI,63471,0,
South Asia,6,Africa,2,Afghanistan,AFG,Western Sahara,ESH,63471,0,
South Asia,6,Africa,2,Afghanistan,AFG,Ethiopia,ETH,63471,0,
South Asia,6,Africa,2,Afghanistan,AFG,Gabon,GAB,63471,0,
South Asia,6,Africa,2,Afghanistan,AFG,Ghana,GHA,63471,0,
South Asia,6,Africa,2,Afghanistan,AFG,Guinea,GIN,63471,0,
South Asia,6,Africa,2,Afghanistan,AFG,Gambia,GMB,63471,0,
